BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0482901,CITIBANK GOV CARD SERVICE,1/18/2017,1/21/2017,LODGING,8476.76,2017,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0497615,CITIBANK GOV CARD SERVICE,1/10/2017,1/28/2017,LODGING,5962.47,2017,CITIBANK GOV CARD SERVICE
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0469225,CITIBANK GOV CARD SERVICE,10/10/2016,11/14/2016,LODGING,9823.44,2016,CITIBANK GOV CARD SERVICE
C001051,HON. JOHN R. CARTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0486722,CITIBANK GOV CARD SERVICE,1/18/2017,1/21/2017,LODGING,7234.44,2017,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0499198,CITIBANK GOV CARD SERVICE,1/25/2017,2/24/2017,LODGING,8933.85,2017,CITIBANK GOV CARD SERVICE
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0483552,CITIBANK GOV CARD SERVICE,12/3/2016,12/6/2016,LODGING,5834.92,2016,CITIBANK GOV CARD SERVICE
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0477819,CITIBANK GOV CARD SERVICE,10/31/2016,11/25/2016,LODGING,5726.07,2016,CITIBANK GOV CARD SERVICE
H001055,HON. JOSEPH J. HECK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0490719,CITIBANK GOV CARD SERVICE,10/2/2016,11/11/2016,LODGING,5992,2016,CITIBANK GOV CARD SERVICE
H001056,HON. JAIME HERRERA BEUTLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499757,CITIBANK GOV CARD SERVICE,2/8/2017,3/4/2017,LODGING,5994.41,2017,CITIBANK GOV CARD SERVICE
R000593,HON. DENNIS A. ROSS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0498826,CITIBANK GOV CARD SERVICE,1/26/2017,2/24/2017,LODGING,5251.15,2017,CITIBANK GOV CARD SERVICE
W000791,HON. GREG WALDEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0488413,STRADER NICHOLAS L.,1/16/2017,1/22/2017,LODGING,5082.7,2017,STRADER NICHOLAS L.
